2022-01-06 06:02:09 startup archives unpack
2022-01-06 06:02:09 upgrade apache2-ssl-dev:amd64 2.4.38-3+deb10u6 2.4.38-3+deb10u7
2022-01-06 06:02:09 status half-configured apache2-ssl-dev:amd64 2.4.38-3+deb10u6
2022-01-06 06:02:09 status unpacked apache2-ssl-dev:amd64 2.4.38-3+deb10u6
2022-01-06 06:02:09 status half-installed apache2-ssl-dev:amd64 2.4.38-3+deb10u6
2022-01-06 06:02:09 status unpacked apache2-ssl-dev:amd64 2.4.38-3+deb10u7
2022-01-06 06:02:09 upgrade apache2-dev:amd64 2.4.38-3+deb10u6 2.4.38-3+deb10u7
2022-01-06 06:02:09 status half-configured apache2-dev:amd64 2.4.38-3+deb10u6
2022-01-06 06:02:09 status unpacked apache2-dev:amd64 2.4.38-3+deb10u6
2022-01-06 06:02:09 status half-installed apache2-dev:amd64 2.4.38-3+deb10u6
2022-01-06 06:02:09 status triggers-pending man-db:amd64 2.8.5-2
2022-01-06 06:02:09 status unpacked apache2-dev:amd64 2.4.38-3+deb10u7
2022-01-06 06:02:09 startup packages configure
2022-01-06 06:02:09 configure apache2-dev:amd64 2.4.38-3+deb10u7 <none>
2022-01-06 06:02:09 status unpacked apache2-dev:amd64 2.4.38-3+deb10u7
2022-01-06 06:02:09 status half-configured apache2-dev:amd64 2.4.38-3+deb10u7
2022-01-06 06:02:09 status installed apache2-dev:amd64 2.4.38-3+deb10u7
2022-01-06 06:02:09 configure apache2-ssl-dev:amd64 2.4.38-3+deb10u7 <none>
2022-01-06 06:02:09 status unpacked apache2-ssl-dev:amd64 2.4.38-3+deb10u7
2022-01-06 06:02:09 status half-configured apache2-ssl-dev:amd64 2.4.38-3+deb10u7
2022-01-06 06:02:09 status installed apache2-ssl-dev:amd64 2.4.38-3+deb10u7
2022-01-06 06:02:09 trigproc man-db:amd64 2.8.5-2 <none>
2022-01-06 06:02:09 status half-configured man-db:amd64 2.8.5-2
2022-01-06 06:02:10 status installed man-db:amd64 2.8.5-2
2022-01-06 06:02:12 startup archives unpack
2022-01-06 06:02:12 upgrade apache2:amd64 2.4.38-3+deb10u6 2.4.38-3+deb10u7
2022-01-06 06:02:12 status half-configured apache2:amd64 2.4.38-3+deb10u6
2022-01-06 06:02:12 status unpacked apache2:amd64 2.4.38-3+deb10u6
2022-01-06 06:02:12 status half-installed apache2:amd64 2.4.38-3+deb10u6
2022-01-06 06:02:12 status triggers-pending systemd:amd64 241-7~deb10u8
2022-01-06 06:02:12 status triggers-pending man-db:amd64 2.8.5-2
2022-01-06 06:02:12 status unpacked apache2:amd64 2.4.38-3+deb10u7
2022-01-06 06:02:12 upgrade apache2-bin:amd64 2.4.38-3+deb10u6 2.4.38-3+deb10u7
2022-01-06 06:02:12 status half-configured apache2-bin:amd64 2.4.38-3+deb10u6
2022-01-06 06:02:12 status unpacked apache2-bin:amd64 2.4.38-3+deb10u6
2022-01-06 06:02:12 status half-installed apache2-bin:amd64 2.4.38-3+deb10u6
2022-01-06 06:02:12 status unpacked apache2-bin:amd64 2.4.38-3+deb10u7
2022-01-06 06:02:12 upgrade apache2-data:all 2.4.38-3+deb10u6 2.4.38-3+deb10u7
2022-01-06 06:02:12 status half-configured apache2-data:all 2.4.38-3+deb10u6
2022-01-06 06:02:12 status unpacked apache2-data:all 2.4.38-3+deb10u6
2022-01-06 06:02:12 status half-installed apache2-data:all 2.4.38-3+deb10u6
2022-01-06 06:02:12 status unpacked apache2-data:all 2.4.38-3+deb10u7
2022-01-06 06:02:12 upgrade apache2-utils:amd64 2.4.38-3+deb10u6 2.4.38-3+deb10u7
2022-01-06 06:02:12 status half-configured apache2-utils:amd64 2.4.38-3+deb10u6
2022-01-06 06:02:12 status unpacked apache2-utils:amd64 2.4.38-3+deb10u6
2022-01-06 06:02:12 status half-installed apache2-utils:amd64 2.4.38-3+deb10u6
2022-01-06 06:02:12 status unpacked apache2-utils:amd64 2.4.38-3+deb10u7
2022-01-06 06:02:12 startup packages configure
2022-01-06 06:02:12 configure apache2-bin:amd64 2.4.38-3+deb10u7 <none>
2022-01-06 06:02:12 status unpacked apache2-bin:amd64 2.4.38-3+deb10u7
2022-01-06 06:02:12 status half-configured apache2-bin:amd64 2.4.38-3+deb10u7
2022-01-06 06:02:12 status installed apache2-bin:amd64 2.4.38-3+deb10u7
2022-01-06 06:02:12 configure apache2-data:all 2.4.38-3+deb10u7 <none>
2022-01-06 06:02:12 status unpacked apache2-data:all 2.4.38-3+deb10u7
2022-01-06 06:02:12 status half-configured apache2-data:all 2.4.38-3+deb10u7
2022-01-06 06:02:12 status installed apache2-data:all 2.4.38-3+deb10u7
2022-01-06 06:02:12 configure apache2-utils:amd64 2.4.38-3+deb10u7 <none>
2022-01-06 06:02:12 status unpacked apache2-utils:amd64 2.4.38-3+deb10u7
2022-01-06 06:02:12 status half-configured apache2-utils:amd64 2.4.38-3+deb10u7
2022-01-06 06:02:12 status installed apache2-utils:amd64 2.4.38-3+deb10u7
2022-01-06 06:02:12 configure apache2:amd64 2.4.38-3+deb10u7 <none>
2022-01-06 06:02:12 status unpacked apache2:amd64 2.4.38-3+deb10u7
2022-01-06 06:02:13 status half-configured apache2:amd64 2.4.38-3+deb10u7
2022-01-06 06:02:14 status installed apache2:amd64 2.4.38-3+deb10u7
2022-01-06 06:02:14 trigproc man-db:amd64 2.8.5-2 <none>
2022-01-06 06:02:14 status half-configured man-db:amd64 2.8.5-2
2022-01-06 06:02:15 status installed man-db:amd64 2.8.5-2
2022-01-06 06:02:15 trigproc systemd:amd64 241-7~deb10u8 <none>
2022-01-06 06:02:15 status half-configured systemd:amd64 241-7~deb10u8
2022-01-06 06:02:15 status installed systemd:amd64 241-7~deb10u8
2022-01-10 06:51:46 startup archives unpack
2022-01-10 06:51:47 upgrade roundcube:all 1.3.17+dfsg.1-1~deb10u1 1.3.17+dfsg.1-1~deb10u2
2022-01-10 06:51:47 status half-configured roundcube:all 1.3.17+dfsg.1-1~deb10u1
2022-01-10 06:51:47 status unpacked roundcube:all 1.3.17+dfsg.1-1~deb10u1
2022-01-10 06:51:47 status half-installed roundcube:all 1.3.17+dfsg.1-1~deb10u1
2022-01-10 06:51:47 status unpacked roundcube:all 1.3.17+dfsg.1-1~deb10u2
2022-01-10 06:51:47 upgrade roundcube-core:all 1.3.17+dfsg.1-1~deb10u1 1.3.17+dfsg.1-1~deb10u2
2022-01-10 06:51:47 status half-configured roundcube-core:all 1.3.17+dfsg.1-1~deb10u1
2022-01-10 06:51:47 status unpacked roundcube-core:all 1.3.17+dfsg.1-1~deb10u1
2022-01-10 06:51:47 status half-installed roundcube-core:all 1.3.17+dfsg.1-1~deb10u1
2022-01-10 06:51:48 status unpacked roundcube-core:all 1.3.17+dfsg.1-1~deb10u2
2022-01-10 06:51:48 upgrade roundcube-mysql:all 1.3.17+dfsg.1-1~deb10u1 1.3.17+dfsg.1-1~deb10u2
2022-01-10 06:51:48 status half-configured roundcube-mysql:all 1.3.17+dfsg.1-1~deb10u1
2022-01-10 06:51:48 status unpacked roundcube-mysql:all 1.3.17+dfsg.1-1~deb10u1
2022-01-10 06:51:48 status half-installed roundcube-mysql:all 1.3.17+dfsg.1-1~deb10u1
2022-01-10 06:51:48 status unpacked roundcube-mysql:all 1.3.17+dfsg.1-1~deb10u2
2022-01-10 06:51:48 startup packages configure
2022-01-10 06:51:48 configure roundcube-mysql:all 1.3.17+dfsg.1-1~deb10u2 <none>
2022-01-10 06:51:48 status unpacked roundcube-mysql:all 1.3.17+dfsg.1-1~deb10u2
2022-01-10 06:51:48 status half-configured roundcube-mysql:all 1.3.17+dfsg.1-1~deb10u2
2022-01-10 06:51:48 status installed roundcube-mysql:all 1.3.17+dfsg.1-1~deb10u2
2022-01-10 06:51:48 configure roundcube-core:all 1.3.17+dfsg.1-1~deb10u2 <none>
2022-01-10 06:51:48 status unpacked roundcube-core:all 1.3.17+dfsg.1-1~deb10u2
2022-01-10 06:51:48 status half-configured roundcube-core:all 1.3.17+dfsg.1-1~deb10u2
2022-01-10 06:51:50 status installed roundcube-core:all 1.3.17+dfsg.1-1~deb10u2
2022-01-10 06:51:50 configure roundcube:all 1.3.17+dfsg.1-1~deb10u2 <none>
2022-01-10 06:51:50 status unpacked roundcube:all 1.3.17+dfsg.1-1~deb10u2
2022-01-10 06:51:50 status half-configured roundcube:all 1.3.17+dfsg.1-1~deb10u2
2022-01-10 06:51:50 status installed roundcube:all 1.3.17+dfsg.1-1~deb10u2
